 
Air 	air 	Minecraft Air
Void Air 	void_air 	Minecraft Void Air
Cave Air 	cave_air 	Minecraft Cave Air
Any Stone 	#forge:stone 	Minecraft Any Stone
Stone 	stone 	Minecraft Stone
Stone Stairs 	stone_stairs 	Minecraft Stone Stairs
Stone Slab 	stone_slab 	Minecraft Stone Slab
Granite 	granite 	Minecraft Granite
Polished Granite 	polished_granite 	Minecraft Polished Granite
Granite Stairs 	granite_stairs 	Minecraft Granite Stairs
Polished Granite Stairs 	polished_granite_stairs 	Minecraft Polished Granite Stairs
Granite Slab 	granite_slab 	Minecraft Granite Slab
Polished Granite Slab 	polished_granite_slab 	Minecraft Polished Granite Slab
Granite Wall 	granite_wall 	Minecraft Granite Wall
Diorite 	diorite 	Minecraft Diorite
Diorite Stairs 	diorite_stairs 	Minecraft Diorite Stairs
Diorite Slab 	diorite_slab 	Minecraft Diorite Slab
Diorite Wall 	diorite_wall 	Minecraft Diorite Wall
Polished Diorite 	polished_diorite 	Minecraft Polished Diorite
Polished Diorite Slab 	polished_diorite_slab 	Minecraft Polished Diorite Slab
Polished Diorite Stairs 	polished_diorite_stairs 	Minecraft Polished Diorite Stairs
Andesite 	andesite 	Minecraft Andesite
Andesite Stairs 	andesite_stairs 	Minecraft Andesite Stairs
Andesite Slab 	andesite_slab 	Minecraft Andesite Slab
Andesite Wall 	andesite_wall 	Minecraft Andesite Wall
Polished Andesite 	polished_andesite 	Minecraft Polished Andesite
Polished Andesite Stairs 	polished_andesite_stairs 	Minecraft Polished Andesite Stairs
Polished Andesite Slab 	polished_andesite_slab 	Minecraft Polished Andesite Slab
Smooth Stone 	smooth_stone 	Minecraft Smooth Stone
Deepslate 	deepslate 	Minecraft Deepslate
Reinforced Deepslate 	reinforced_deepslate 	Minecraft Reinforced Deepslate
Cobbled Deepslate 	cobbled_deepslate 	Minecraft Cobbled Deepslate
Cobbled Deepslate Stairs 	cobbled_deepslate_stairs 	Minecraft Cobbled Deepslate Stairs
Cobbled Deepslate Slab 	cobbled_deepslate_slab 	Minecraft Cobbled Deepslate Slab
Cobbled Deepslate Wall 	cobbled_deepslate_wall 	Minecraft Cobbled Deepslate Wall
Polished Deepslate 	polished_deepslate 	Minecraft Polished Deepslate
Polished Deepslate Stairs 	polished_deepslate_stairs 	Minecraft Polished Deepslate Stairs
Polished Deepslate Slab 	polished_deepslate_slab 	Minecraft Polished Deepslate Slab
Polished Deepslate Wall 	polished_deepslate_wall 	Minecraft Polished Deepslate Wall
Deepslate Tiles 	deepslate_tiles 	Minecraft Deepslate Tiles
Deepslate Tile Stairs 	deepslate_tile_stairs 	Minecraft Deepslate Tile Stairs
Deepslate Tile Slab 	deepslate_tile_slab 	Minecraft Deepslate Tile Slab
Deepslate Tile Wall 	deepslate_tile_wall 	Minecraft Deepslate Tile Wall
Deepslate Bricks 	deepslate_bricks 	Minecraft Deepslate Bricks
Deepslate Brick Stairs 	deepslate_brick_stairs 	Minecraft Deepslate Brick Stairs
Deepslate Brick Slab 	deepslate_brick_slab 	Minecraft Deepslate Brick Slab
Deepslate Brick Wall 	deepslate_brick_wall 	Minecraft Deepslate Brick Wall
Chiseled Deepslate 	chiseled_deepslate 	Minecraft Chiseled Deepslate
Cracked Deepslate Bricks 	cracked_deepslate_bricks 	Minecraft Cracked Deepslate Bricks
Cracked Deepslate Tiles 	cracked_deepslate_tiles 	Minecraft Cracked Deepslate Tiles
Tuff 	tuff 	Minecraft Tuff
Calcite 	calcite 	Minecraft Calcite
Dripstone Block 	dripstone_block 	Minecraft Dripstone Block
